DOI,publisher,journal,title,published_date,search_engine,search_keyword,searched_date,crawl_type,crawled_type,crawl_time [sec],crawled_date,HTML_download,PDF_download,PDF_download_url,PDF_download_type,PDF_to_XML,Num_of_paragraphs,Num_of_captions,Num_of_figures,% of HTML_download,% of PDF_download,% of figure extraction,Index
10.1007/s10825-017-1074-8,Springer,['Journal of Computational Electronics'],['    SIM^2 RRAM S I M 2 R R A M : a physical model for RRAM devices simulation'],,crossref,,,html,html,,,O,X,,,X,114.0,17.0,17.0,1.0,0.0,1.0,0.0
10.1109/tvlsi.2017.2734819,IEEE,['IEEE Transactions on Very Large Scale Integration (VLSI) Systems'],['A Study of the Effect of RRAM Reliability Soft Errors on the Performance of RRAM-Based Neuromorphic Systems'],,crossref,,,html,html,,,O,X,,,X,136.0,17.0,14.0,1.0,0.0,0.8235294120000001,1.0
10.1038/s41928-020-0454-4,Nature,['Nature Electronics'],['IGZO and RRAM team up'],,crossref,,,html,pdf,,,O,O,,Scihub,X,4.0,0.0,0.0,1.0,1.0,0.0,2.0
10.1039/c9fd90004g,RSC,['Faraday Discussions'],['Correction: RRAM-based synapse devices for neuromorphic systems'],,crossref,,,html,pdf,,,O,O,,Scihub,X,0.0,0.0,0.0,1.0,1.0,0.0,3.0
10.1088/1361-6641/ac461f,None,['Semiconductor Science and Technology'],['Improving the accuracy and robustness of RRAM-based in-memory computing against RRAM hardware noise and adversarial attacks'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,4.0
10.1016/j.microrel.2014.07.135,None,['Microelectronics Reliability'],['Performance and reliability trade-offs for high-觀 RRAM'],,crossref,,,pdf,pdf,,,O,O,,Scihub,O,14.0,4.0,4.0,1.0,1.0,1.0,5.0
10.1149/2162-8777/ac3ad1,None,['ECS Journal of Solid State Science and Technology'],['A Large-Size HfO<sub>2</sub> Based RRAM Structure Suitable for Integration of One RRAM with One InGaZnO Thin Film Transistor for Large-Area Applications'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,6.0
10.3390/met11101572,None,['Metals'],['Resistive Switching Characteristics of ZnO-Based RRAM on Silicon Substrate'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,7.0
10.1557/adv.2017.442,Springer,['MRS Advances'],['Vanadium Oxide Based RRAM Device'],,crossref,,,html,pdf,,,O,O,,Scihub,O,11.0,3.0,3.0,1.0,1.0,1.0,8.0
10.1049/mnl:20080029,None,['Micro    amp; Nano Letters'],['Application of nanojunction-based RRAM to reconfigurable IC'],,crossref,,,pdf,pdf,,,O,O,,Scihub,O,24.0,4.0,4.0,1.0,1.0,1.0,9.0
10.3390/met11091350,None,['Metals'],['Effects of Oxygen Precursor on Resistive Switching Properties of CMOS Compatible HfO2-Based RRAM'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,10.0
10.1016/j.mee.2017.04.043,None,['Microelectronic Engineering'],['RRAM serial configuration for the generation of random bits'],,crossref,,,pdf,pdf,,,O,O,,Scihub,O,14.0,6.0,6.0,1.0,1.0,1.0,11.0
10.1016/j.mee.2018.01.009,None,['Microelectronic Engineering'],"['Brain-inspired computing with resistive switching memory (RRAM): Devices, synapses and neural networks']",,crossref,,,pdf,pdf,,,O,O,,Scihub,X,17.0,0.0,0.0,1.0,1.0,0.0,12.0
10.1002/pssa.201532377,Wiley,['physica status solidi (a)'],['Low-current operation of novel Gd<sub>2</sub><sub>3</sub>-based RRAM cells with large memory window'],,crossref,,,html,pdf,,,O,O,,Scihub,O,13.0,4.0,4.0,1.0,1.0,1.0,13.0
10.1109/jssc.2020.3045369,IEEE,['IEEE Journal of Solid-State Circuits'],['RRAM-DNN: An RRAM and Model-Compression Empowered All-Weights-On-Chip DNN Accelerator'],,crossref,,,html,html,,,O,X,,,X,79.0,19.0,17.0,1.0,0.0,0.894736842,14.0
10.1049/el.2014.4375,None,['Electronics Letters'],['Reconfigurable physical unclonable function based on probabilistic switching of RRAM'],,crossref,,,pdf,pdf,,,O,O,,Scihub,O,10.0,2.0,1.0,1.0,1.0,0.5,15.0
10.1016/j.mee.2017.05.024,None,['Microelectronic Engineering'],['Impact of the HfO2/Al2O3 stacking order on unipolar RRAM devices'],,crossref,,,pdf,pdf,,,O,O,,Scihub,O,15.0,6.0,6.0,1.0,1.0,1.0,16.0
10.3390/met11121918,None,['Metals'],['Conductance Quantization Behavior in Pt/SiN/TaN RRAM Device for Multilevel Cell'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,17.0
10.1016/j.mee.2019.110984,None,['Microelectronic Engineering'],['Controlling the intermediate conductance states in RRAM devices for synaptic applications'],,crossref,,,pdf,pdf,,,O,O,,Scihub,X,14.0,0.0,0.0,1.0,1.0,0.0,18.0
10.1109/led.2014.2316544,IEEE,['IEEE Electron Device Letters'],['Effects of RESET Current Overshoot and Resistance State on Reliability of RRAM'],,crossref,,,html,html,,,O,X,,,X,22.0,5.0,5.0,1.0,0.0,1.0,19.0
10.1109/led.2019.2899258,IEEE,['IEEE Electron Device Letters'],['OFF State Conduction in Filamentary RRAM'],,crossref,,,html,pdf,,,O,O,,Scihub,X,1.0,0.0,3.0,1.0,1.0,0.0,20.0
10.3390/cryst11121462,None,['Crystals'],['Modeling and Simulation of Hafnium Oxide RRAM Based on Oxygen Vacancy Conduction'],,crossref,,,pdf,pdf,,,O,X,,,X,0.0,0.0,0.0,1.0,0.0,0.0,21.0
10.1016/j.microrel.2016.07.139,None,['Microelectronics Reliability'],"['Application of the defect clustering model for forming, SET and RESET statistics in RRAM devices']",,crossref,,,pdf,pdf,,,O,O,,Scihub,O,14.0,5.0,5.0,1.0,1.0,1.0,22.0
